# These data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
#SITE_ABB: A text abbreviation of the site name primarily for use within the National Water Quality Program
#SITE_QW_ID: Unique USGS station number indicating location where water-quality samples are collected (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#SITE_QW_NAME: Unique USGS station name indicating where water-quality samples are collected.
#DA: Drainage area upstream from the water-quality sampling location in square miles. Drainage area is displayed as NA for Mississippi and Atchafalaya River sites downstream from the Old River diversion.
#QW_LAT: Latitude where water-quality samples are collected
#QW_LONG: Longitude where water-quality samples are collected.
#SITE_FLOW_ID: Typically a unique USGS station number indicating location where streamflow data is recorded. In some instances these data are obtained from outside sources--in those cases the site number used by that entity is displayed. If no site number is available an abbreviated indicator of the collecting agency is displayed  (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text) 
#SITE_FLOW_NAME: Unique USGS station name indicating where streamflow associated with water-quality samples are collected. In some instances these data are obtained from outside sources--in those cases the site name used by that entity is displayed
#FLOW_LAT: Latitude of site where streamflow data associated with the water-quality sampling was located.
#FLOW_LONG: Longitude of site where streamflow data associated with the water-quality sampling was located.
#SITE_TYPE: Character representation of the type of monitoring site
"SITE_ABB","SITE_QW_ID","SITE_QW_NAME","DA","QW_LAT","QW_LONG","SITE_FLOW_ID","SITE_FLOW_NAME","FLOW_LAT","FLOW_LONG","SITE_TYPE"
"GILE","01054200","Wild River at Gilead, Maine","69.6","44.390556","-70.979722","01054200","Wild River at Gilead, Maine","44.390556","-70.979722","Reference"
"COLR","01170100","Green River near Colrain, MA","41.4","42.703417","-72.670647","01170100","Green River near Colrain, MA","42.703417","-72.670647","Reference"
"THOM","01184000","Connecticut River at Thompsonville, CT","9660","41.987319","-72.605367","01184000","Connecticut River at Thompsonville, CT","41.987319","-72.605367","Coastal Rivers"
"WINN","01209710","Norwalk River at Winnipauk, CT","33","41.135374","-73.426231","01209700","Norwalk River a T South Wilton, CT","41.163767","-73.419544","Urban"
"CANA","01349150","Canajoharie Creek near Canajoharie, NY","59.7","42.876111","-74.603056","01349150","Canajoharie Creek near Canajoharie, NY","42.876111","-74.603056","Agriculture"
"POUG","01372043","Hudson River near Poughkeepsie, NY","11700","41.72176","-73.940693","01372058","Hudson River below Poughkeepsie, NY","41.650927","-73.944582","Coastal Rivers"
"MAHW","01387500","Ramapo River near Mahwah NJ","120","41.09805556","-74.16277778","01387500","Ramapo River near Mahwah NJ","41.09805556","-74.16277778","WSC Site"
"LODI","01391500","Saddle River at Lodi NJ","54.6","40.89027778","-74.0805556","01391500","Saddle River at Lodi NJ","40.89027778","-74.0805556","WSC Site"
"CLAY","01435000","Neversink River near Claryville, NY","66.6","41.89","-74.59","01435000","Neversink River near Claryville, NY","41.89","-74.59","Reference"
"BLAI","01443500","Paulins Kill at Blairstown NJ","126","40.9808333","-74.9533333","01443500","Paulins Kill at Blairstown NJ","40.9808333","-74.9533333","WSC Site"
"TREN","01463500","Delaware River at Trenton, NJ","6780","40.221667","-74.778056","01463500","Delaware River at Trenton, NJ","40.221667","-74.778056","Coastal Rivers"
"BYRN","01466500","McDonalds Branch in Byrne State Forest NJ","2.35","39.885","-74.505278","01466500","McDonalds Branch in Byrne State Forest NJ","39.885","-74.505278","Reference"
"RENO","01545600","Young Womans Creek near Renovo, PA","46.2","41.389512","-77.690819","01545600","Young Womans Creek near Renovo, PA","41.389512","-77.690819","Reference"
"CONO","01578310","Susquehanna River at Conowingo, MD","27100","39.657913","-76.174175","01578310","Susquehanna River at Conowingo, MD","39.657913","-76.174175","Coastal Rivers"
"WARD","01610400","Waites Run near Wardensville, WV","12.6","39.042722","-78.598333","01610400","Waites Run near Wardensville, WV","39.042722","-78.598333","Reference"
"WASH","01646580","Potomac River at Chain Bridge at Washington, DC","11570","38.929555","-77.116923","01646500","Potomac River near Washington, DC, Little Falls pump station","38.949778","-77.127639","Coastal Rivers"
"ANNA","01654000","Accotink Creek near Annandale, VA","23.9","38.812891","-77.228316","01654000","Accotink Creek near Annandale, VA","38.812891","-77.228316","Urban"
"APEX","02087580","Swift Creek near Apex, NC","21","35.718889","-78.752222","02087580","Swift Creek near Apex, NC","35.718889","-78.752222","Urban"
"KINS","02089500","Neuse River at Kinston, NC","2692","35.257778","-77.585556","02089500","Neuse River at Kinston, NC","35.257778","-77.585556","Large Inland Rivers"
"HOOK","02091500","Contentnea Creek at Hookerton, NC","733","35.428889","-77.5825","02091500","Contentnea Creek at Hookerton, NC","35.428889","-77.5825","Agriculture"
"GIVH","02175000","Edisto River near Givhans, SC","2730","33.027946","-80.391488","02175000","Edisto River near Givhans, SC","33.027946","-80.391488","Coastal Rivers"
"EVER","02226160","Altamaha River near Everett City, GA","14000","31.427167","-81.605386","02226000","Altamaha River at Doctortown, GA","31.654659","-81.827892","Coastal Rivers"
"SOPC","02327100","Sopchoppy River near Sopchoppy, FL","102","30.129369","-84.494348","02327100","Sopchoppy River near Sopchoppy, FL","30.129369","-84.494348","Reference"
"MARI","02335870","Sope Creek near Marietta, GA","30.7","33.953889","-84.443333","02335870","Sope Creek near Marietta, GA","33.953889","-84.443333","Urban"
"WHIT","02338000","Chattahoochee River near Whitesburg, GA","2430","33.477058","-84.900772","02338000","Chattahoochee River near Whitesburg, GA","33.477058","-84.900772","Large Inland Rivers"
"FRAN","02338523","Hillibahatchee Creek near Franklin, GA","16.8","33.340672","-85.22689","02338523","Hillibahatchee Creek near Franklin, GA","33.340672","-85.22689","Reference"
